Source,Target
GMT,GJB1
GMT,GJD3
GMT,GJD2
GMT,TJP1
GMT,GJB3
GMT,GJB2
GMT,DAB2
GMT,GJD4
GMT,GJB5
GMT,GJB4
GMT,GJB7
GMT,GJB6
GMT,SRC
GMT,CLTC
GMT,CLTB
GMT,CLTA
GMT,GJC2
GMT,GJC1
GMT,GJA1
GMT,GJA4
GMT,GJA3
GMT,MYO6
GMT,CLTCL1
GMT,GJA5
GMT,GJA10
GMT,GJA8
GMT,GJA9
GMT,AP2M1
GMT,SNAPIN
GMT,AP1S1
GMT,YIPF6
GMT,OCRL
GMT,AP1B1
GMT,DTNBP1
GMT,AP3B1
GMT,NECAP1
GMT,DNAJC6
GMT,HIP1R
GMT,CPD
GMT,DNASE2
GMT,APP
GMT,RAB5C
GMT,ARF1
GMT,SNAP23
GMT,NAPA
GMT,CTSZ
GMT,SNX5
GMT,SNX2
GMT,TGOLN2
GMT,AP4S1
GMT,STX4
GMT,AP1M1
GMT,SNX9
GMT,AP1M2
GMT,TPD52
GMT,IGF2R
GMT,TBC1D8B
GMT,SORT1
GMT,GBF1
GMT,M6PR
GMT,AP4B1
GMT,PUM1
GMT,TPD52L1
GMT,PICALM
GMT,GAK
GMT,HGS
GMT,VAMP7
GMT,VAMP8
GMT,CHMP2A
GMT,FTL
GMT,TFRC
GMT,AP4E1
GMT,CLINT1
GMT,PIK3C2A
GMT,AP4M1
GMT,BLOC1S6
GMT,AP1G1
GMT,BLOC1S1
GMT,ARRB1
GMT,AP1G2
GMT,BLOC1S3
GMT,FTH1
GMT,BLOC1S4
GMT,TXNDC5
GMT,AP1S3
GMT,AP3S1
GMT,AP1S2
GMT,SH3D19
GMT,CLVS1
GMT,SH3GL2
GMT,CLVS2
GMT,AP2B1
GMT,PACS1
GMT,HLA-A
GMT,HCK
GMT,LCK
GMT,CD8B
GMT,ELMO1
GMT,CD28
GMT,CD247
GMT,DOCK2
GMT,AP2A2
GMT,AP2A1
GMT,PAK2
GMT,AP2S1
GMT,RAC1
GMT,FYN
GMT,B2M
GMT,ATP6V1H
GMT,NSF
GMT,PRKCG
GMT,PICK1
GMT,PRKCB
GMT,DLG1
GMT,DLG4
GMT,MDM2
GMT,GRIA2
GMT,CAMK2D
GMT,GRIA3
GMT,GRIA1
GMT,CAMK2A
GMT,CAMK2B
GMT,AKAP5
GMT,GRIP1
GMT,GRIP2
GMT,CACNG8
GMT,EPB41L1
GMT,TSPAN7
GMT,CACNG2
GMT,CACNG3
GMT,CAMK2G
GMT,CACNG4
GMT,GRIA4
GMT,EGF
GMT,STAM
GMT,EPS15L1
GMT,EPN1
GMT,CDC42
GMT,SPRY2
GMT,SPRY1
GMT,GRB2
GMT,STAM2
GMT,UBA52
GMT,ARHGEF7
GMT,SH3KBP1
GMT,PTPRK
GMT,CBL
GMT,EGFR
GMT,UBC
GMT,UBB
GMT,EPS15
GMT,RPS27A
GMT,CNTN6
GMT,RDX
GMT,MSN
GMT,SPTB
GMT,VAV2
GMT,DNM3
GMT,L1CAM
GMT,SCN10A
GMT,KIF4B
GMT,SCN8A
GMT,KIF4A
GMT,CNTN2
GMT,SCN4B
GMT,SCN4A
GMT,CD24
GMT,NUMB
GMT,CNTN1
GMT,SPTBN4
GMT,SPTBN5
GMT,CNTNAP1
GMT,DPYSL2
GMT,SPTA1
GMT,PAK1
GMT,SCN7A
GMT,CHL1
GMT,SCN3A
GMT,SCN3B
GMT,SPTBN1
GMT,SPTBN2
GMT,CSNK2A2
GMT,CSNK2A1
GMT,ANK3
GMT,ANK1
GMT,ANK2
GMT,SDCBP
GMT,RANBP9
GMT,NFASC
GMT,DLG3
GMT,KCNQ2
GMT,CSNK2B
GMT,KCNQ3
GMT,FGFR1
GMT,DCX
GMT,SCN2B
GMT,EZR
GMT,SCN2A
GMT,NRP1
GMT,NRP2
GMT,RPS6KA5
GMT,RPS6KA4
GMT,RPS6KA6
GMT,SCN9A
GMT,RPS6KA1
GMT,SCN11A
GMT,ALCAM
GMT,RPS6KA3
GMT,RPS6KA2
GMT,MAPK3
GMT,SCN5A
GMT,MAPK1
GMT,NRCAM
GMT,SCN1A
GMT,SPTAN1
GMT,EPHB2
GMT,SCN1B
GMT,SRD5A3
GMT,GFPT1
GMT,GFPT2
GMT,DOLPP1
GMT,ALG14
GMT,ALG13
GMT,ALG12
GMT,ALG11
GMT,RENBP
GMT,ALG10
GMT,DHDDS
GMT,RFT1
GMT,ALG10B
GMT,DPAGT1
GMT,ST6GALNAC1
GMT,CMAS
GMT,MPI
GMT,UAP1
GMT,FUOM
GMT,GMDS
GMT,GMPPA
GMT,GMPPB
GMT,ST3GAL5
GMT,GNPNAT1
GMT,ST8SIA5
GMT,ST8SIA6
GMT,MPDU1
GMT,NUS1
GMT,ALG9
GMT,ST6GAL2
GMT,ST8SIA1
GMT,PMM2
GMT,ST8SIA2
GMT,ALG8
GMT,PMM1
GMT,ALG5
GMT,ST8SIA3
GMT,ST8SIA4
GMT,ALG6
GMT,ALG3
GMT,DOLK
GMT,ALG1
GMT,ALG2
GMT,NAGK
GMT,MVD
GMT,GNE
GMT,ST6GALNAC5
GMT,ST6GALNAC6
GMT,TSTA3
GMT,NPL
GMT,NANP
GMT,NANS
GMT,AMDHD2
GMT,FPGT
GMT,PGM3
GMT,FUK
GMT,NUDT14
GMT,FUCA1
GMT,CHST8
GMT,MGAT4A
GMT,MGAT4B
GMT,MGAT4C
GMT,LHB
GMT,FUT3
GMT,FUT8
GMT,MAN2A2
GMT,CHST10
GMT,MGAT5
GMT,MGAT2
GMT,MAN2A1
GMT,MGAT3
GMT,CGA
GMT,RIC1
GMT,COG8
GMT,COG7
GMT,COG6
GMT,COG5
GMT,COG4
GMT,RAB39A
GMT,COG3
GMT,BET1L
GMT,COG2
GMT,COG1
GMT,RAB30
GMT,RAB33B
GMT,RGP1
GMT,ALPP
GMT,RAB36
GMT,VPS45
GMT,TRIP11
GMT,NAPB
GMT,STX16
