Year,alzheimer,dementia,parkinson's disease,huntington disease,depression,anxiety,bipolar disorder,schizophrenia,autism
1995,483.6867081912745,704.1516442453084,290.1674865438447,60.79487630580936,1556.3933717996397,547.8219623160844,126.93435712201955,423.5599074492652,51.66451026720795
1996,552.9873528129089,779.7645006541649,291.1033580462277,61.70955080680332,1583.7331007413868,643.6982119494113,125.59965111208025,452.46402093327515,59.965111208024425
1997,603.2934787369159,840.4502255507381,352.9978539832698,64.81846450313142,1602.7241273595234,684.5355406648272,137.95821836815136,469.27692375071166,62.84763281215784
1998,609.5980614233788,800.0842859400517,348.1009324132118,63.635884738976976,1611.5471737870726,705.0518885318443,136.54322288363272,463.7833851340673,73.750197545172
1999,595.9362093028437,810.2463756666808,384.2593436599234,72.7196122160846,1590.5136354336946,690.5324736619287,167.9235613569196,504.98605363425884,71.90936584041792
2000,638.060086965505,836.0333962565388,370.96516684040984,73.81737243963597,1565.5669192986413,689.3378036983818,156.08711576930662,478.7798533044074,82.08191286544765
2001,638.4389573807745,847.9638455397868,358.5853142599314,72.70349214236002,1600.0248434043501,750.2342769564638,163.85686545652496,474.21674774262965,105.76714057896092
2002,668.9572688284667,879.3223025859506,403.2143918698957,74.6627790123282,1624.1808325430636,725.2197421126382,163.8334913872415,479.11565299854215,113.40957665142744
2003,648.3224886968432,865.0469541631121,436.9824819999226,74.37283675162332,1681.128986392463,770.8189256995169,189.8021716195274,522.2925006267847,110.71793344472431
2004,709.9362933819551,897.2719056003654,431.5912268136996,86.47461899564343,1729.8051271786758,777.3333291633697,189.21209581325235,552.6244186810197,128.38275261378527
2005,696.6740171155011,855.9178730162356,412.1773705197491,79.1220593444009,1698.981981879049,835.7803091758739,203.08947362407594,541.1434708590884,133.6791471955943
2006,713.1289901741337,872.6692580843962,462.3466292449583,88.4408006893847,1835.5134502050278,890.9443556627457,226.77128381893516,590.8058917847434,162.07477049412128
2007,698.058306753959,851.0486771356336,471.1798190059059,87.62291370987023,1866.1518661518662,929.8965820704951,235.3991484426267,603.4408208321252,185.54692467735947
2008,701.562320725131,863.3877691513368,474.12227024132784,89.03985160821509,1867.6855853443988,978.7212682143268,238.7941255210923,591.487551153096,200.78785329100853
2009,723.9694179632418,882.647646557925,486.18006103184166,79.56710025796612,1888.0657329121673,984.329384996472,232.88765877797243,559.2495614120082,208.15118205020937
2010,774.9558730758855,914.823885250881,508.60129863785335,89.95307996372141,1919.919456415768,1011.0428822368686,223.9799830501634,576.3581640650721,229.50248618843204
2011,762.7200936921597,912.007642894766,511.9130875745089,96.7132217567476,1905.5251106169735,1053.6444504168185,207.35471682937572,558.5041426804472,243.8428694597105
2012,800.1051125687619,918.908042122208,518.3041961415234,93.81112998767867,1951.8411697632303,1098.4447198851112,228.7852239660332,564.796293863135,274.17474229503733
2013,810.3343967757239,946.3041387204743,529.5159668693445,93.66417562903415,2022.48462506039,1153.3054488002542,228.93752965089206,570.602854319999,306.06249211123054
2014,844.9877636794084,966.685952171947,520.7917697443673,93.35182081770542,2023.6480195781128,1183.9803952863565,229.34788391455857,542.6542175404995,325.9416646716144
2015,852.9053233633713,961.0930709614358,548.1937748594635,90.7278237041986,2032.3670315179531,1203.6185891584237,221.39821302861114,538.6266932737835,348.56067243827437
2016,876.4760303301183,1004.3101023297681,566.8143999299882,95.09417214154888,2052.846417833009,1223.6439899232996,220.58409856663312,520.4784557394061,361.8579385271264
2017,922.4367517693607,1063.8158305982295,585.812547701934,95.84760693529206,2095.3737709396537,1274.649697061368,215.5413576250167,507.1742937026887,381.8469880159622
2018,940.4708199256916,1090.121834060481,585.639797427831,94.27189573438406,2152.06701248016,1292.5291396078348,212.5239239290248,506.65523613686065,394.69799271303725
2019,958.8870876336607,1053.6983951749664,581.2220459274594,86.47940475737283,2162.9906934082437,1307.677776588646,191.70559077859477,470.39337355152384,403.1635372949616
2020,952.1990075221651,795.9773873910331,565.1270053538843,85.73367225268754,2148.706042671088,1358.3752198631084,176.36103381068764,445.8903832417492,406.9290876186837
