Id,Label,Class,Size,dis_class
CX3CL1,CX3CL1,GENE,1,INFLAMMATORY
CX3CR1,CX3CR1,GENE,1,INFLAMMATORY
CXCL1,CXCL1,GENE,1,INFLAMMATORY
CXCL10,CXCL10,GENE,1,INFLAMMATORY
CXCL11,CXCL11,GENE,1,INFLAMMATORY
CXCL12,CXCL12,GENE,1,INFLAMMATORY
CXCL13,CXCL13,GENE,1,INFLAMMATORY
CXCL16,CXCL16,GENE,1,INFLAMMATORY
CXCL2,CXCL2,GENE,1,INFLAMMATORY
CXCL5,CXCL5,GENE,1,INFLAMMATORY
CXCL9,CXCL9,GENE,1,INFLAMMATORY
CXCR2,CXCR2,GENE,1,INFLAMMATORY
CXCR3,CXCR3,GENE,1,INFLAMMATORY
CXCR4,CXCR4,GENE,1,INFLAMMATORY
CXCR5,CXCR5,GENE,1,INFLAMMATORY
CXCR6,CXCR6,GENE,1,INFLAMMATORY
CYBB,CYBB,GENE,1,INFLAMMATORY
CYCLIN E,CYCLIN E,GENE,1,INFLAMMATORY
CYCS,CYCS,GENE,1,INFLAMMATORY
CYP1A1,CYP1A1,GENE,1,INFLAMMATORY
CYP27A1,CYP27A1,GENE,1,INFLAMMATORY
CYP2D6,CYP2D6,GENE,1,INFLAMMATORY
CYP3A,CYP3A,GENE,1,INFLAMMATORY
CYR61,CYR61,GENE,1,INFLAMMATORY
DAG1,DAG1,GENE,1,INFLAMMATORY
DAP,DAP,GENE,1,INFLAMMATORY
DBP,DBP,GENE,1,INFLAMMATORY
DCN,DCN,GENE,1,INFLAMMATORY
DDIT3,DDIT3,GENE,1,INFLAMMATORY
DDOST,DDOST,GENE,1,INFLAMMATORY
DDR2,DDR2,GENE,1,INFLAMMATORY
DDX46,DDX46,GENE,1,INFLAMMATORY
DEFA1,DEFA1,GENE,1,INFLAMMATORY
DEFA5,DEFA5,GENE,1,INFLAMMATORY
DEFB104A,DEFB104A,GENE,1,INFLAMMATORY
DEFB4A,DEFB4A,GENE,1,INFLAMMATORY
DEK,DEK,GENE,1,INFLAMMATORY
DHS,DHS,GENE,1,INFLAMMATORY
DHX9,DHX9,GENE,1,INFLAMMATORY
DKK1,DKK1,GENE,1,INFLAMMATORY
DLG5,DLG5,GENE,1,INFLAMMATORY
DLL1,DLL1,GENE,1,INFLAMMATORY
DMBT1,DMBT1,GENE,1,INFLAMMATORY
DNAJC5,DNAJC5,GENE,1,INFLAMMATORY
DNASE1,DNASE1,GENE,1,INFLAMMATORY
DNASE1L3,DNASE1L3,GENE,1,INFLAMMATORY
DNASE2,DNASE2,GENE,1,INFLAMMATORY
DNMT1,DNMT1,GENE,1,INFLAMMATORY
DPEP1,DPEP1,GENE,1,INFLAMMATORY
DPP4,DPP4,GENE,1,INFLAMMATORY
DRD2,DRD2,GENE,1,INFLAMMATORY
DUSP1,DUSP1,GENE,1,INFLAMMATORY
DUSP2,DUSP2,GENE,1,INFLAMMATORY
DUSP22,DUSP22,GENE,1,INFLAMMATORY
DUT,DUT,GENE,1,INFLAMMATORY
DYT10,DYT10,GENE,1,INFLAMMATORY
E2F1,E2F1,GENE,1,INFLAMMATORY
EBI3,EBI3,GENE,1,INFLAMMATORY
ECD,ECD,GENE,1,INFLAMMATORY
EDN1,EDN1,GENE,1,INFLAMMATORY
EDNRA,EDNRA,GENE,1,INFLAMMATORY
EEF1A1,EEF1A1,GENE,1,INFLAMMATORY
EFNA2,EFNA2,GENE,1,INFLAMMATORY
EGF,EGF,GENE,1,INFLAMMATORY
EGFL7,EGFL7,GENE,1,INFLAMMATORY
EGFR,EGFR,GENE,1,INFLAMMATORY
EGLN1,EGLN1,GENE,1,INFLAMMATORY
EGR1,EGR1,GENE,1,INFLAMMATORY
EGR2,EGR2,GENE,1,INFLAMMATORY
EIF2A,EIF2A,GENE,1,INFLAMMATORY
EIF2AK1,EIF2AK1,GENE,1,INFLAMMATORY
EIF2AK4,EIF2AK4,GENE,1,INFLAMMATORY
EIF2S1,EIF2S1,GENE,1,INFLAMMATORY
EIM,EIM,GENE,1,INFLAMMATORY
ELANE,ELANE,GENE,1,INFLAMMATORY
ELAVL1,ELAVL1,GENE,1,INFLAMMATORY
